number,base_fee_per_gas
14688091,45869305048
14688092,42544512871
14688093,42450174818
14688094,40615738187
14688095,36460264167
14688096,34799992260
14688097,39147408060
14688098,40750947090
14688099,40582507465
14688100,43692108957
14688101,38540463771
14688102,37840295254
14688103,34288761864
14688104,38571366521
14688105,43390269909
14688106,48810014013
14688107,43822295211
14688108,43394007210
14688109,38787852317
14688110,36409439736
14688111,37641357259
14688112,42175824866
14688113,42287867401
14688114,38454081423
14688115,33975456514
14688116,34419120811
14688117,30632166718
14688118,34455468904
14688119,32934878713
14688120,35345760510
14688121,36281010668
14688122,40811369455
14688123,45910703815
14688124,45004385203
14688125,46961523155
14688126,42302882923
14688127,47587999946
14688128,50421462953
14688129,56723366128
14688130,49632945362
14688131,54212492439
14688132,52778703409
14688133,47773686817
14688134,43188665350
14688135,38505852971
14688136,39958741549
14688137,44408716989
14688138,46135307921
14688139,51894850526
14688140,58380497259
14688141,65673727921
14688142,59603584606
14688143,58486327830
14688144,60020500728
14688145,54909872632
14688146,50949473987
14688147,57203788554
14688148,57064424637
14688149,56975404052
14688150,64087463317
14688151,72087666922
14688152,64095337327
14688153,72097673842
14688154,74775975761
14688155,67135075901
14688156,64689243723
14688157,60142170155
14688158,66980799827
14688159,65006918636
14688160,60027608222
14688161,55528990650
14688162,51429044803
14688163,46234280132
14688164,48715667011
14688165,47112472640
14688166,45351986204
14688167,43663042167
14688168,46325247344
14688169,43671489337
14688170,49128790734
14688171,55262953222
14688172,61289424823
14688173,64745851720
14688174,72832780715
14688175,80765442535
14688176,76153357716
14688177,70210455429
14688178,66421522109
14688179,65787812633
14688180,67447288975
14688181,62363403480
14688182,59866366018
14688183,56469799174
14688184,63519556003
14688185,69432405147
14688186,72708901251
14688187,64599636720
14688188,59842853402
14688189,59662832214
14688190,59198786735
14688191,56737452633
14688192,60739234528
14688193,68146097691
14688194,64162529912
14688195,61178808882
14688196,54989047781
14688197,61861666953
14688198,61971331024
14688199,55055521359
14688200,61933523846
14688201,60822137599
14688202,54854667843
14688203,59604265836
14688204,54119906320
14688205,60881780009
14688206,58990241554
14688207,55428257020
14688208,48906480076
14688209,54795963169
14688210,53725053083
14688211,50348467971
14688212,44250032084
14688213,49779689035
14688214,55999260038
14688215,55264862733
14688216,59984760135
14688217,61724124489
14688218,56798870094
14688219,63737035443
14688220,71699390433
14688221,68166413879
14688222,76686365236
14688223,77994298485
14688224,70106093068
14688225,71243483114
14688226,66767598142
14688227,67967954938
14688228,67476112762
14688229,75904781653
14688230,73836411110
14688231,75618667017
14688232,79518824195
14688233,70255568352
14688234,75522457122
14688235,81256793587
14688236,86383822343
14688237,82686325518
14688238,77460074988
14688239,76659376441
14688240,68169644104
14688241,72868222621
14688242,65243183532
14688243,67116421155
14688244,61206135830
14688245,61792813169
14688246,55910755083
14688247,55520970630
14688248,53723366800
14688249,47007945950
14688250,52880431704
14688251,57985066513
14688252,57093908523
14688253,55693392093
14688254,56353570459
14688255,55691953566
14688256,49823113223
14688257,45882501061
14688258,44551208440
14688259,41806613303
14688260,42924512808
14688261,48272816246
14688262,54302368179
14688263,61085928164
14688264,55101905116
14688265,52632110067
14688266,51698856352
14688267,58153886375
14688268,62118662927
14688269,61829447427
14688270,59934415543
14688271,67419936078
14688272,75840608068
14688273,85310357084
14688274,88436278571
14688275,80033103347
14688276,79162439077
14688277,70059778771
14688278,74650369104
14688279,79048156188
14688280,71005218478
14688281,66374169639
14688282,61211128190
14688283,62760587411
14688284,59274498763
14688285,57902506225
14688286,56696359697
14688287,63778634124
14688288,57788889039
14688289,53156574105
14688290,57996209786
14688291,55091495217
14688292,50190624945
14688293,49825094095
14688294,44793459015
14688295,50385038032
14688296,56676754119
14688297,59100086345
14688298,53617921127
14688299,56405721041
14688300,51161922761
14688301,47553251927
14688302,48331713637
14688303,43418560222
14688304,48839769999
14688305,50662424998
14688306,44967873555
14688307,43386613562
14688308,45165238084
14688309,50808890518
14688310,46716184002
14688311,52549563434
14688312,52578417235
14688313,47888137622
14688314,44321303027
14688315,49856887553
14688316,49006122977
14688317,44721576453
14688318,50297711182
14688319,56172349301
14688320,49953204677
14688321,56196551014
14688322,55121056270
14688323,48726694041
14688324,43809330889
14688325,49278614953
14688326,47551943207
14688327,42723470557
14688328,42179534078
14688329,42741486991
14688330,38142507632
14688331,38622447311
14688332,40539671413
14688333,37070009364
14688334,34265604926
14688335,35308633949
14688336,38057656375
14688337,35983043423
14688338,36261750985
14688339,32782986545
14688340,36295634466
14688341,34432253537
14688342,38734325169
14688343,43574060313
14688344,42138018331
14688345,41081667022
14688346,46204764710
14688347,51974434949
14688348,58469983918
14688349,51889731018
14688350,46760230103
14688351,47916324374
14688352,44747262313
14688353,48060174163
14688354,47619609737
14688355,48495205025
14688356,51093705954
14688357,51431206256
14688358,45002305474
14688359,46042680772
14688360,40287345676
14688361,35712372700
14688362,38387579536
14688363,43182865869
14688364,40070850279
14688365,42632249486
14688366,40269343217
14688367,38113381645
14688368,39924623615
14688369,44909951136
14688370,50459188993
14688371,47733815030
14688372,51172285495
14688373,49084669649
14688374,54288306865
14688375,48316184083
14688376,54351106583
14688377,61137504025
14688378,68773763728
14688379,64239771115
14688380,67851957008
14688381,61900300548
14688382,55133426521
14688383,54036374045
14688384,50700044388
14688385,51681367766
14688386,54331226505
14688387,52549020315
14688388,51237897741
14688389,50313322259
14688390,46970037325
14688391,52704669715
14688392,59292149082
14688393,64110318548
14688394,57233044070
14688395,64379546360
14688396,67214727450
14688397,67634673528
14688398,76086855394
14688399,84278690359
14688400,83918259196
14688401,92838549409
14688402,104433400310
14688403,117486152793
14688404,121099697783
14688405,116161652746
14688406,118556057077
14688407,117932569025
14688408,113674738789
14688409,127876745852
14688410,135924316125
14688411,121333386752
14688412,121080438270
14688413,136203855746
14688414,153206252115
14688415,153955760081
14688416,152416488582
14688417,165728874930
14688418,182019418092
14688419,198336583774
